,Game ID,Week,Date,Time (EST),Time (GMT),Excel (human readable time/date),Unix Time,Lat,Lng,Location,Home Team,Away Team,Home Team Won?,Home Score,Away Score,Total Points,Summary,Wind Speed,Wind Gust,Temperature
30,45997,4,9/30/2018,1:00 PM,6:00 PM,9/30/2018 13:00,1538312400,42.090944,-71.264344,Gillette Stadium,NE,MIA,Yes,38,7,45,Clear,1.92,4.78,55.65
31,45999,4,9/30/2018,1:00 PM,6:00 PM,9/30/2018 13:00,1538312400,36.166389,-86.771389,Nissan Stadium,TEN,PHI,Yes,26,23,49,Clear,0,0,61.15
32,46000,4,9/30/2018,1:00 PM,6:00 PM,9/30/2018 13:00,1538312400,41.8623,-87.6167,Soldier Field,CHI,TB,Yes,48,10,58,Overcast,4.15,4.6,55.63
33,46001,4,9/30/2018,4:05 PM,9:05 PM,9/30/2018 16:05,1538323500,37.751667,-122.200556,Oakland-Alameda County Coliseum,OAK,CLE,Yes,45,42,87,Clear,2.12,4.33,63.04
34,46003,4,9/30/2018,4:25 PM,9:25 PM,9/30/2018 16:25,1538324700,40.813528000000005,-74.074361,MetLife Stadium,NYG,NO,No,18,33,51,Clear,0.59,2.7,67.03
35,46005,4,9/30/2018,8:20 PM,1:20 AM,9/30/2018 20:20,1538338800,40.446667,-80.015833,Heinz Field,PIT,BAL,No,14,26,40,Partly Cloudy,6.01,6.11,75.81
36,46007,5,10/4/2018,8:20 PM,1:20 AM,10/4/2018 20:20,1538684400,42.090944,-71.264344,Gillette Stadium,NE,IND,Yes,38,24,62,Overcast,6.24,7.73,68.72
37,46008,5,10/7/2018,1:00 PM,6:00 PM,10/7/2018 13:00,1538917200,40.446667,-80.015833,Heinz Field,PIT,ATL,Yes,41,17,58,Clear,0,0,69.26
38,46009,5,10/7/2018,1:00 PM,6:00 PM,10/7/2018 13:00,1538917200,41.506111,-81.699444,FirstEnergy Stadium,CLE,BAL,Yes,12,9,21,Foggy,1.45,2.11,66.37
39,46010,5,10/7/2018,1:00 PM,6:00 PM,10/7/2018 13:00,1538917200,40.813528000000005,-74.074361,MetLife Stadium,NYJ,DEN,Yes,34,16,50,Overcast,3.83,4.11,69.86
40,46012,5,10/7/2018,1:00 PM,6:00 PM,10/7/2018 13:00,1538917200,39.048889,-94.483889,Arrowhead Stadium,KC,JAX,Yes,30,14,44,Light Rain,4.26,5.22,54.79
41,46013,5,10/7/2018,1:00 PM,6:00 PM,10/7/2018 13:00,1538917200,39.095,-84.516,Paul Brown Stadium,CIN,MIA,Yes,27,17,44,Mostly Cloudy,0.34,1.35,69.68
42,46014,5,10/7/2018,1:00 PM,6:00 PM,10/7/2018 13:00,1538917200,35.225833,-80.852778,Bank of America Stadium,CAR,NYG,Yes,33,31,64,Foggy,0.99,0.99,71.67
43,46015,5,10/7/2018,1:00 PM,6:00 PM,10/7/2018 13:00,1538917200,42.773999999999994,-78.78699999999999,New Era Field,BUF,TEN,Yes,13,12,25,Mostly Cloudy,5.37,5.39,60.07
44,46017,5,10/7/2018,4:25 PM,9:25 PM,10/7/2018 16:25,1538929500,37.403,-121.97,Levi's Stadium,SF,ARI,No,18,28,46,Clear,6.86,15.38,67.91
45,46018,5,10/7/2018,4:25 PM,9:25 PM,10/7/2018 16:25,1538929500,47.5952,-122.3316,CenturyLink Field,SEA,LA,No,31,33,64,Overcast,3.22,3.75,49.94
46,46019,5,10/7/2018,4:25 PM,9:25 PM,10/7/2018 16:25,1538929500,39.900833,-75.1675,Lincoln Financial Field,PHI,MIN,No,21,23,44,Overcast,4.24,6.2,75.52
47,46022,6,10/11/2018,8:20 PM,1:20 AM,10/11/2018 20:20,1539289200,40.813528000000005,-74.074361,MetLife Stadium,NYG,PHI,No,13,34,47,Rain,2.98,4.29,72.57
48,46025,6,10/14/2018,1:00 PM,6:00 PM,10/14/2018 13:00,1539522000,25.958056,-80.238889,Hard Rock Stadium,MIA,CHI,Yes,31,28,59,Humid and Partly Cloudy,1.91,2.32,82.49
49,46026,6,10/14/2018,1:00 PM,6:00 PM,10/14/2018 13:00,1539522000,40.813528000000005,-74.074361,MetLife Stadium,NYJ,IND,Yes,42,34,76,Clear,1.51,2.06,48.64
50,46027,6,10/14/2018,1:00 PM,6:00 PM,10/14/2018 13:00,1539522000,37.751667,-122.200556,Oakland-Alameda County Coliseum,OAK,SEA,No,3,27,30,Mostly Cloudy,1.32,5.96,54.25
51,46029,6,10/14/2018,1:00 PM,6:00 PM,10/14/2018 13:00,1539522000,41.506111,-81.699444,FirstEnergy Stadium,CLE,LAC,No,14,38,52,Partly Cloudy,2.36,3.29,43.19
52,46030,6,10/14/2018,1:00 PM,6:00 PM,10/14/2018 13:00,1539522000,39.095,-84.516,Paul Brown Stadium,CIN,PIT,No,21,28,49,Overcast,1.5,3.02,46.58
53,46033,6,10/14/2018,4:25 PM,9:25 PM,10/14/2018 16:25,1539534300,36.166389,-86.771389,Nissan Stadium,TEN,BAL,No,0,21,21,Drizzle,6.35,6.37,63.67
54,46035,6,10/14/2018,8:20 PM,1:20 AM,10/14/2018 20:20,1539548400,42.090944,-71.264344,Gillette Stadium,NE,KC,Yes,43,40,83,Clear,4.59,6.16,56.01
55,46036,6,10/15/2018,8:15 PM,1:15 AM,10/15/2018 20:15,1539634500,44.501389,-88.06222199999999,Lambeau Field,GB,SF,Yes,33,30,63,Overcast,14.68,24.45,38.72
56,46040,7,10/21/2018,1:00 PM,6:00 PM,10/21/2018 13:00,1540126800,39.900833,-75.1675,Lincoln Financial Field,PHI,CAR,No,17,21,38,Mostly Cloudy,8.73,15.15,46.44
57,46042,7,10/21/2018,1:00 PM,6:00 PM,10/21/2018 13:00,1540126800,27.975833,-82.503333,Raymond James Stadium,TB,CLE,Yes,26,23,49,Partly Cloudy,8.96,9.92,74.12
58,46043,7,10/21/2018,1:00 PM,6:00 PM,10/21/2018 13:00,1540126800,25.958056,-80.238889,Hard Rock Stadium,MIA,DET,No,21,32,53,Humid,6.64,7.12,79.99
59,46045,7,10/21/2018,1:00 PM,6:00 PM,10/21/2018 13:00,1540126800,40.813528000000005,-74.074361,MetLife Stadium,NYJ,MIN,No,17,37,54,Mostly Cloudy,12.52,16.95,45.76
60,46046,7,10/21/2018,1:00 PM,6:00 PM,10/21/2018 13:00,1540126800,41.8623,-87.6167,Soldier Field,CHI,NE,No,31,38,69,Clear,3.25,3.52,30.05
61,46047,7,10/21/2018,4:05 PM,9:05 PM,10/21/2018 16:05,1540137900,39.278056,-76.622778,M&T Bank Stadium,BAL,NO,No,23,24,47,Mostly Cloudy,14.08,24.63,49.18
62,46049,7,10/21/2018,4:25 PM,9:25 PM,10/21/2018 16:25,1540139100,37.403,-121.97,Levi's Stadium,SF,LA,No,10,39,49,Overcast,0.54,2.87,59.34
63,46041,7,10/21/2018,8:20 PM,1:20 AM,10/21/2018 20:20,1540153200,39.048889,-94.483889,Arrowhead Stadium,KC,CIN,Yes,45,10,55,Clear,8.24,8.74,62.02
64,46053,8,10/28/2018,1:00 PM,6:00 PM,10/28/2018 13:00,1540731600,35.225833,-80.852778,Bank of America Stadium,CAR,BAL,Yes,36,21,57,Clear,3.52,4.11,47.09
65,46054,8,10/28/2018,1:00 PM,6:00 PM,10/28/2018 13:00,1540731600,40.446667,-80.015833,Heinz Field,PIT,CLE,Yes,33,18,51,Overcast,9.86,10,42.2
66,46055,8,10/28/2018,1:00 PM,6:00 PM,10/28/2018 13:00,1540731600,39.048889,-94.483889,Arrowhead Stadium,KC,DEN,Yes,30,23,53,Clear,6.68,6.68,51.24
67,46056,8,10/28/2018,1:00 PM,6:00 PM,10/28/2018 13:00,1540731600,41.8623,-87.6167,Soldier Field,CHI,NYJ,Yes,24,10,34,Light Rain,7.93,9.26,46.74
68,46058,8,10/28/2018,1:00 PM,6:00 PM,10/28/2018 13:00,1540731600,39.095,-84.516,Paul Brown Stadium,CIN,TB,Yes,37,34,71,Mostly Cloudy,2.56,3.36,44.63
69,46059,8,10/28/2018,1:00 PM,6:00 PM,10/28/2018 13:00,1540731600,40.813528000000005,-74.074361,MetLife Stadium,NYG,WAS,No,13,20,33,Mostly Cloudy,6.99,7.67,46.68
70,46060,8,10/28/2018,4:05 PM,9:05 PM,10/28/2018 16:05,1540742700,37.751667,-122.200556,Oakland-Alameda County Coliseum,OAK,IND,No,28,42,70,Partly Cloudy,2.52,7.87,60.62
71,46061,8,10/28/2018,4:25 PM,9:25 PM,10/28/2018 16:25,1540743900,34.014167,-118.287778,Los Angeles Memorial Coliseum,LA,GB,Yes,29,27,56,Mostly Cloudy,0.36,4.64,67.15
72,46064,8,10/29/2018,8:15 PM,1:15 AM,10/29/2018 20:15,1540844100,42.773999999999994,-78.78699999999999,New Era Field,BUF,NE,No,6,25,31,,,,
73,46065,9,11/1/2018,8:20 PM,1:20 AM,11/1/2018 20:20,1541103600,37.403,-121.97,Levi's Stadium,SF,OAK,Yes,34,3,37,Partly Cloudy,3.69,11.45,79.42
74,46066,9,11/4/2018,1:00 PM,6:00 PM,11/4/2018 13:00,1541336400,42.773999999999994,-78.78699999999999,New Era Field,BUF,CHI,No,9,41,50,Partly Cloudy,2.89,3.38,35.62
75,46067,9,11/4/2018,1:00 PM,6:00 PM,11/4/2018 13:00,1541336400,39.278056,-76.622778,M&T Bank Stadium,BAL,PIT,No,16,23,39,Clear,0.33,3.52,36.93
76,46072,9,11/4/2018,1:00 PM,6:00 PM,11/4/2018 13:00,1541336400,35.225833,-80.852778,Bank of America Stadium,CAR,TB,Yes,42,28,70,Clear,4.96,5.45,44.12
77,46074,9,11/4/2018,4:05 PM,9:05 PM,11/4/2018 16:05,1541347500,47.5952,-122.3316,CenturyLink Field,SEA,LAC,No,17,25,42,Overcast,2.73,5.54,54.94
78,46076,9,11/4/2018,8:20 PM,1:20 AM,11/4/2018 20:20,1541362800,42.090944,-71.264344,Gillette Stadium,NE,GB,Yes,31,17,48,Clear,2.38,4.33,53.67
79,46079,10,11/11/2018,1:00 PM,6:00 PM,11/11/2018 13:00,1541941200,39.048889,-94.483889,Arrowhead Stadium,KC,ARI,Yes,26,14,40,Clear,1.18,2.29,28.49
80,46082,10,11/11/2018,1:00 PM,6:00 PM,11/11/2018 13:00,1541941200,36.166389,-86.771389,Nissan Stadium,TEN,NE,Yes,34,10,44,Partly Cloudy,0,0,27.02
81,46084,10,11/11/2018,1:00 PM,6:00 PM,11/11/2018 13:00,1541941200,41.506111,-81.699444,FirstEnergy Stadium,CLE,ATL,Yes,28,16,44,Mostly Cloudy,2.05,3.25,28.44
82,46085,10,11/11/2018,1:00 PM,6:00 PM,11/11/2018 13:00,1541941200,41.8623,-87.6167,Soldier Field,CHI,DET,Yes,34,22,56,Overcast,7.81,10.85,28.48
83,46087,10,11/11/2018,1:00 PM,6:00 PM,11/11/2018 13:00,1541941200,39.095,-84.516,Paul Brown Stadium,CIN,NO,No,14,51,65,Clear,0.83,2.05,23.3
84,46086,10,11/11/2018,4:25 PM,9:25 PM,11/11/2018 16:25,1541953500,44.501389,-88.06222199999999,Lambeau Field,GB,MIA,Yes,31,12,43,Overcast,8.28,8.3,29.69
85,46089,10,11/11/2018,4:25 PM,9:25 PM,11/11/2018 16:25,1541953500,34.014167,-118.287778,Los Angeles Memorial Coliseum,LA,SEA,Yes,36,31,67,Clear,2.78,10.36,58.6
86,46090,10,11/11/2018,8:20 PM,1:20 AM,11/11/2018 20:20,1541967600,39.900833,-75.1675,Lincoln Financial Field,PHI,DAL,No,20,27,47,Clear,4.11,6.5,46.13
