Game ID,Date,Time (EST),Lat,Lng,DateTime,Unix Time
46013,2018-10-07,1:00PM,39.095,-84.516,2018-10-07 1:00PM,1538931600
46014,2018-10-07,1:00PM,35.225833,-80.852778,2018-10-07 1:00PM,1538931600
46015,2018-10-07,1:00PM,42.774,-78.78699999999998,2018-10-07 1:00PM,1538931600
46016,2018-10-07,4:05PM,33.864000000000004,-118.261,2018-10-07 4:05PM,1538942700
46017,2018-10-07,4:25PM,37.403,-121.97,2018-10-07 4:25PM,1538943900
46018,2018-10-07,4:25PM,47.5952,-122.3316,2018-10-07 4:25PM,1538943900
46019,2018-10-07,4:25PM,39.900833,-75.1675,2018-10-07 4:25PM,1538943900
46020,2018-10-07,8:20PM,29.684722,-95.410833,2018-10-07 8:20PM,1538958000
46021,2018-10-08,8:15PM,29.950833000000006,-90.081111,2018-10-08 8:15PM,1539044100
46022,2018-10-11,8:20PM,40.81352800000001,-74.074361,2018-10-11 8:20PM,1539303600
46023,2018-10-14,1:00PM,44.974,-93.258,2018-10-14 1:00PM,1539536400
46024,2018-10-14,1:00PM,38.907778,-76.86444399999998,2018-10-14 1:00PM,1539536400
46025,2018-10-14,1:00PM,25.958056,-80.238889,2018-10-14 1:00PM,1539536400
46026,2018-10-14,1:00PM,40.81352800000001,-74.074361,2018-10-14 1:00PM,1539536400
46027,2018-10-14,1:00PM,51.555833,-0.279722,2018-10-14 1:00PM,1539536400
46028,2018-10-14,1:00PM,29.684722,-95.410833,2018-10-14 1:00PM,1539536400
46029,2018-10-14,1:00PM,41.506111,-81.699444,2018-10-14 1:00PM,1539536400
46030,2018-10-14,1:00PM,39.095,-84.516,2018-10-14 1:00PM,1539536400
46031,2018-10-14,1:00PM,33.755429,-84.401067,2018-10-14 1:00PM,1539536400
46032,2018-10-14,4:05PM,39.743889,-105.02,2018-10-14 4:05PM,1539547500
46033,2018-10-14,4:25PM,36.166389,-86.771389,2018-10-14 4:25PM,1539548700
46034,2018-10-14,4:25PM,32.747778000000004,-97.092778,2018-10-14 4:25PM,1539548700
46035,2018-10-14,8:20PM,42.090944,-71.264344,2018-10-14 8:20PM,1539562800
46036,2018-10-15,8:15PM,44.501389,-88.06222199999998,2018-10-15 8:15PM,1539648900
46037,2018-10-18,8:20PM,33.5275,-112.2625,2018-10-18 8:20PM,1539908400
46038,2018-10-21,9:30AM,51.555833,-0.279722,2018-10-21 9:30AM,1540128600
46039,2018-10-21,1:00PM,39.760056,-86.16380600000002,2018-10-21 1:00PM,1540141200
46040,2018-10-21,1:00PM,39.900833,-75.1675,2018-10-21 1:00PM,1540141200
46042,2018-10-21,1:00PM,27.975833,-82.503333,2018-10-21 1:00PM,1540141200
46043,2018-10-21,1:00PM,25.958056,-80.238889,2018-10-21 1:00PM,1540141200
46044,2018-10-21,1:00PM,30.323889,-81.6375,2018-10-21 1:00PM,1540141200
46045,2018-10-21,1:00PM,40.81352800000001,-74.074361,2018-10-21 1:00PM,1540141200
46046,2018-10-21,1:00PM,41.8623,-87.6167,2018-10-21 1:00PM,1540141200
46047,2018-10-21,4:05PM,39.278056,-76.622778,2018-10-21 4:05PM,1540152300
46048,2018-10-21,4:25PM,38.907778,-76.86444399999998,2018-10-21 4:25PM,1540153500
46049,2018-10-21,4:25PM,37.403,-121.97,2018-10-21 4:25PM,1540153500
46041,2018-10-21,8:20PM,39.048889,-94.483889,2018-10-21 8:20PM,1540167600
46050,2018-10-22,8:15PM,33.755429,-84.401067,2018-10-22 8:15PM,1540253700
46051,2018-10-25,8:20PM,29.684722,-95.410833,2018-10-25 8:20PM,1540513200
46052,2018-10-28,9:30AM,51.555833,-0.279722,2018-10-28 9:30AM,1540733400
46053,2018-10-28,1:00PM,35.225833,-80.852778,2018-10-28 1:00PM,1540746000
46054,2018-10-28,1:00PM,40.446667,-80.015833,2018-10-28 1:00PM,1540746000
